client_id,score
17167,2.5128050718434536e-06
9126,5.9033730982972015e-06
379,6.808357528463703e-06
2039,7.573800131155493e-06
8585,8.671330008586466e-06
15363,9.3398054832283e-06
19685,9.909017738026173e-06
6419,1.13794622981511e-05
5984,1.1389449270754136e-05
1606,1.1752761726578517e-05
2269,1.2599764640025932e-05
5652,1.2893242737281605e-05
11025,1.2965307886655897e-05
3068,1.3022732963765323e-05
7990,1.3073497061384616e-05
19755,1.3118474099145314e-05
7891,1.3383648340759067e-05
2522,1.3882870125723088e-05
10514,1.4144681179823416e-05
3383,1.4377107420356525e-05
8452,1.4399541465436995e-05
19785,1.4474994642860788e-05
9854,1.4577830860278832e-05
10526,1.5219182609159212e-05
5274,1.524744036262796e-05
8080,1.5443418334804542e-05
9593,1.6297542329800887e-05
5968,1.6737505512393487e-05
11086,1.6922053655772277e-05
6421,1.7831806660845033e-05
7724,1.786074102969154e-05
10663,1.802430547177814e-05
13944,1.8089813514781505e-05
1941,1.81875703102168e-05
4992,1.8222887615957164e-05
5614,1.8659056333543636e-05
8445,1.868946028406954e-05
5930,1.888866333628867e-05
6791,1.930353246852385e-05
14959,1.9394435053921556e-05
6709,2.0158247994747485e-05
11512,2.018433309416421e-05
3758,2.0323357445883004e-05
19268,2.0343868192114875e-05
8358,2.05891600910321e-05
5337,2.1211255860074342e-05
114,2.1569735076341565e-05
14717,2.2180439851611684e-05
14130,2.275128451644593e-05
11689,2.3305946094324345e-05
12619,2.3500862492122043e-05
355,2.380100213734145e-05
14970,2.4103306644430262e-05
5405,2.4375123994374463e-05
11998,2.4834461402200884e-05
17694,2.4972292108043524e-05
12918,2.520956205089659e-05
19854,2.5444381131696748e-05
8497,2.5543301861307596e-05
1763,2.605053025442388e-05
6338,2.6583962390221575e-05
2865,2.6588170526082567e-05
5072,2.778399294837137e-05
12617,2.801395392435366e-05
5552,2.805612125300505e-05
13731,2.8240214112570627e-05
17696,2.8329643206774676e-05
19863,2.8727440190781606e-05
429,2.909503683100782e-05
13794,2.935797427521108e-05
18249,2.965158853621471e-05
3710,2.9669291845109477e-05
3039,2.9907843808492223e-05
18472,2.997134589450215e-05
7920,3.039582519142216e-05
13277,3.082630682218712e-05
10606,3.098060204814971e-05
9679,3.1354133498026413e-05
10534,3.1949950748730905e-05
11959,3.199053391384225e-05
12048,3.241613623368807e-05
6046,3.283386304930235e-05
7615,3.332698512079744e-05
14418,3.3735006534604355e-05
12685,3.388014829982708e-05
17719,3.4062893834132374e-05
14280,3.42648451526908e-05
14610,3.4372909200027605e-05
563,3.4738618515062354e-05
15699,3.481054047755252e-05
18854,3.4818408549317563e-05
8324,3.495910431439503e-05
7238,3.515093533914087e-05
12621,3.5161866039108074e-05
3138,3.528919056192047e-05
17234,3.5577730601040815e-05
17692,3.566450709821271e-05
18924,3.642304409524575e-05
8509,3.6527947798091406e-05
12702,3.660580231833051e-05
18462,3.685334131997292e-05
15220,3.697613592437019e-05
14676,3.704303561772973e-05
14863,3.710533630495489e-05
18563,3.721697486270942e-05
18706,3.736286888741408e-05
19127,3.787240838110703e-05
13583,3.793249974828761e-05
18372,3.8185342575651285e-05
10967,3.8260852261072746e-05
8361,3.85417471556538e-05
18122,3.8936528511082407e-05
11681,3.8980949606033146e-05
13036,3.93114426219172e-05
14478,3.970400536076284e-05
15486,3.971940951576732e-05
18127,4.006685648533597e-05
5914,4.1272764565767184e-05
2472,4.159785795471509e-05
2028,4.167182453447213e-05
10472,4.169385416763354e-05
15436,4.184917854184628e-05
1608,4.187761228146793e-05
12665,4.1928005842432565e-05
18766,4.220244651281534e-05
19310,4.2298175959413415e-05
11684,4.231078229692523e-05
10043,4.2326636052973374e-05
8629,4.236238372807629e-05
9314,4.236749379255284e-05
12238,4.2473479274502895e-05
18739,4.265834569706562e-05
19248,4.268173932127909e-05
9407,4.269572663160542e-05
11153,4.306457991518518e-05
8104,4.3079642281631206e-05
11965,4.380127238361589e-05
16611,4.3804614195424e-05
18134,4.382431550272981e-05
11568,4.39301483609685e-05
8326,4.418747909259503e-05
18402,4.422389262597988e-05
17549,4.4572432983279696e-05
7188,4.497410324818775e-05
15090,4.505627361734063e-05
13600,4.521312260802196e-05
15876,4.548120980370161e-05
2597,4.5894550266070703e-05
2072,4.618437861830911e-05
4629,4.637268441373505e-05
14540,4.649050107730651e-05
227,4.658701710549219e-05
13899,4.666282246042159e-05
19169,4.682955285383237e-05
278,4.710530974176886e-05
6611,4.724207577418756e-05
5339,4.7999728126244966e-05
12516,4.808235898312412e-05
17271,4.8378174700744e-05
13069,4.854548427124639e-05
18665,4.866940516901019e-05
19205,4.877773035541191e-05
